id,"name","model","description",max_stock,"measure_unit","id_people","mba_code","price","sku","image_file_name",image_file_size,"image_content_type","image_updated_at","created_at","updated_at",category_id,"deleted_at"
1,"ACETATO PARA IMPRESION EN B/N","CAJ","ARTICULOS DE OFICINA",1,"CAJ","000000000000000001",NULL,"84.86","ACETATO PARA IMPRESION EN B/N","acetato_imp.png",14099,"image/png","2016-02-09 04:10:10","2015-03-09 23:40:12","2016-03-18 02:55:10",1,"2016-03-17 21:30:00"
2,"BLOCK SELECTO CARTA CUADRO 7MM","PZA","ARTICULOS DE OFICINA",1,"BLK","000000000000000002",NULL,"14.38","BLOCK SELECTO CARTA CUADRO 7MM","block_cuadro7mm.png",50020,"image/png","2016-02-09 04:10:56","2015-03-09 23:40:12","2016-02-09 04:10:56",1,"2016-03-17 21:30:00"
3,"BLOCK SELECTO CARTA RAYA 80 HOJAS","PZA","ARTICULOS DE OFICINA",1,"BLK","000000000000000003",NULL,"14.38","BLOCK SELECTO CARTA RAYA 80 HOJAS","block_raya80.png",45709,"image/png","2016-02-09 04:11:12","2015-03-09 23:40:12","2016-02-09 04:11:12",1,"2016-03-17 21:30:00"
4,"BLOCK SELECTO TAQUIGRAFIA 80 HOJAS","PZA","ARTICULOS DE OFICINA",1,"BLK","000000000000000004",NULL,"4.07","BLOCK SELECTO TAQUIGRAFIA 80 HOJAS","block_taqui.png",54671,"image/png","2016-02-09 04:11:33","2015-03-09 23:40:12","2016-02-09 04:11:33",1,"2016-03-17 21:30:00"
5,"BOLSA 40 X 30","PZA","ARTICULOS DE OFICINA",20,"PZA","000000000000000005",NULL,"35.56","BOLSA 40 X 30","Bolsa_40x30.jpg",41524,"image/jpeg","2016-03-18 03:05:43","2015-03-09 23:40:12","2016-03-18 03:05:43",1,"2016-03-17 21:30:00"
6,"BOLSA 40 X 70","PZA","ARTICULOS DE OFICINA",20,"PZA","000000000000000006",NULL,"38.24","BOLSA 40 X 70","Bolsa_40x70.jpg",40151,"image/jpeg","2016-03-18 03:05:56","2015-03-09 23:40:12","2016-03-18 03:05:56",1,"2016-03-17 21:30:00"
7,"BROCHE 8 CM (50 PZAS)","PAQ","ARTICULOS DE OFICINA",1,"PZA","000000000000000007",NULL,"19.29","BROCHE 8 CM (50 PZAS)","Broche_8cm.jpg",36134,"image/jpeg","2016-03-18 03:06:59","2015-03-09 23:40:12","2016-03-18 03:06:59",1,"2016-03-17 21:30:00"
8,"CARPETA 1 PULGADA TIPO D","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000010",NULL,"22.76","CARPETA 1 PULGADA TIPO D","Carpeta_1in.jpg",34973,"image/jpeg","2016-03-18 03:07:12","2015-03-09 23:40:12","2016-03-18 03:07:12",1,"2016-03-17 21:30:00"
9,"CARPETA 2 PULGADA TIPO D","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000011",NULL,"32.05","CARPETA 2 PULGADA TIPO D","Carpeta_2in.jpg",38019,"image/jpeg","2016-03-18 03:07:23","2015-03-09 23:40:12","2016-03-18 03:07:23",1,"2016-03-17 21:30:00"
10,"CARPETA 3 PULGADA TIPO D","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000012",NULL,"39.70","CARPETA 3 PULGADA TIPO D","Carpeta_3in.jpg",51995,"image/jpeg","2016-03-18 03:08:17","2015-03-09 23:40:12","2016-03-18 03:08:17",1,"2016-03-17 21:30:00"
11,"CHINCHES AZULES","PZA","ARTICULOS DE OFICINA",1,"CAJ","000000000000000013",NULL,"10.38","CHINCHES AZULES","Chincheta_azul.jpg",55870,"image/jpeg","2016-03-18 03:08:36","2015-03-09 23:40:13","2016-03-18 03:08:36",1,"2016-03-17 21:30:00"
12,"CINTA CANELA","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000014",NULL,"8.86","CINTA CANELA","Cinta_canela_48x50.jpg",54099,"image/jpeg","2016-03-18 03:08:52","2015-03-09 23:40:13","2016-03-18 03:08:52",1,"2016-03-17 21:30:00"
13,"CINTA TRANSPARENTE","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000015",NULL,"10.50","CINTA TRANSPARENTE","Cinta_transparente.jpg",65375,"image/jpeg","2016-03-18 03:13:12","2015-03-09 23:40:13","2016-03-18 03:13:12",1,"2016-03-17 21:30:00"
14,"CLIP NO. 1 CUADRADO","CAJ","ARTICULOS DE OFICINA",2,"CAJ","000000000000000016",NULL,"4.90","CLIP NO. 1 CUADRADO","Clip_No1_Cuadrado.jpg",35484,"image/jpeg","2016-03-18 03:13:38","2015-03-09 23:40:13","2016-03-18 03:13:38",1,"2016-03-17 21:30:00"
15,"CLIP NO. 1 GIGANTE MARIPOSA","CAJ","ARTICULOS DE OFICINA",2,"CAJ","000000000000000017",NULL,"6.93","CLIP NO. 1 GIGANTE MARIPOSA","Clip_No1_-Gigante_Mariposa.jpg",37252,"image/jpeg","2016-03-18 03:14:00","2015-03-09 23:40:13","2016-03-18 03:14:00",1,"2016-03-17 21:30:00"
16,"CLIP NO. 2 GIGANTE MARIPOSA","CAJ","ARTICULOS DE OFICINA",2,"CAJ","000000000000000018",NULL,"11.48","CLIP NO. 2 GIGANTE MARIPOSA","Clip_No2_Gigante_Mariposa.jpg",43264,"image/jpeg","2016-03-18 03:14:13","2015-03-09 23:40:13","2016-03-18 03:14:13",1,"2016-03-17 21:30:00"
17,"CLIP NO. 3 CUADRADO","CAJ","ARTICULOS DE OFICINA",2,"CAJ","000000000000000019",NULL,"4.50","CLIP NO. 3 CUADRADO","Clip_No3_Cuadrado.jpg",34491,"image/jpeg","2016-03-18 03:14:26","2015-03-09 23:40:13","2016-03-18 03:14:26",1,"2016-03-17 21:30:00"
18,"COJIN NEUTRO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000020",NULL,"15.33","COJIN NEUTRO","Cojin_neutro.jpg",43083,"image/jpeg","2016-03-18 03:14:38","2015-03-09 23:40:13","2016-03-18 03:14:38",1,"2016-03-17 21:30:00"
19,"CORRECTOR LIQUIDO","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000021",NULL,"9.10","CORRECTOR LIQUIDO","Corrector_liquido.jpg",61330,"image/jpeg","2016-03-18 03:16:13","2015-03-09 23:40:13","2016-03-18 03:16:13",1,"2016-03-17 21:30:00"
20,"CUADERNO PROFESIONAL CUADRO 5 MM","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000022",NULL,"8.91","CUADERNO PROFESIONAL CUADRO 5 MM","Cuaderno-profesional-cuadro-5mm.jpg",54715,"image/jpeg","2016-03-18 03:16:37","2015-03-09 23:40:13","2016-03-18 03:16:37",1,"2016-03-17 21:30:00"
21,"CUADERNO PROFESIONAL CUADRO 7 MM","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000023",NULL,"8.91","CUADERNO PROFESIONAL CUADRO 7 MM","Cuaderno-profesional-cuadro-7mm.jpg",157098,"image/jpeg","2016-03-18 03:16:51","2015-03-09 23:40:13","2016-03-18 03:16:51",1,"2016-03-17 21:30:00"
22,"CUADERNO PROFESIONAL RAYA","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000024",NULL,"8.91","CUADERNO PROFESIONAL RAYA","Cuaderno-profesional-raya.jpg",58205,"image/jpeg","2016-03-18 03:17:12","2015-03-09 23:40:13","2016-03-18 03:17:12",1,"2016-03-17 21:30:00"
23,"CUTTER CHICO","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000025",NULL,"1.82","CUTTER CHICO","Cutter_chico.jpg",84133,"image/jpeg","2016-03-18 03:17:27","2015-03-09 23:40:14","2016-03-18 03:17:27",1,"2016-03-17 21:30:00"
24,"DEDAL NO. 11","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000026",NULL,"1.31","DEDAL NO. 11","Dedal_No11.jpg",57000,"image/jpeg","2016-03-18 03:17:42","2015-03-09 23:40:14","2016-03-18 03:17:42",1,"2016-03-17 21:30:00"
25,"DEDAL NO. 11 1/2","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000027",NULL,"1.31","DEDAL NO. 11 1/2","Dedal_No11_12.jpg",60314,"image/jpeg","2016-03-18 03:17:55","2015-03-09 23:40:14","2016-03-18 03:17:55",1,"2016-03-17 21:30:00"
26,"DESENGRAPADORA","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000028",NULL,"4.84","DESENGRAPADORA","desengrapadora.jpg",45526,"image/jpeg","2016-03-18 03:18:07","2015-03-09 23:40:14","2016-03-18 03:18:07",1,"2016-03-17 21:30:00"
27,"ESTUCHE MAGISTRAL","PAQ","ARTICULOS DE OFICINA",1,"PZA","000000000000000030",NULL,"35.57","ESTUCHE MAGISTRAL","Estuche_Magistral.jpg",129329,"image/jpeg","2016-03-18 03:19:20","2015-03-09 23:40:14","2016-03-18 03:19:20",1,"2016-03-17 21:30:00"
28,"ETIQUETA BLANCA 20 X 105 MM","PAQ","ARTICULOS DE OFICINA",1,"CAJ","000000000000000031",NULL,"11.36","ETIQUETA BLANCA 20 X 105 MM","eti_blanca20.png",59877,"image/png","2016-02-09 04:20:43","2015-03-09 23:40:14","2016-02-09 04:20:43",1,"2016-03-17 21:30:00"
29,"ETIQUETA BLANCA 32 X 64 MM","PAQ","ARTICULOS DE OFICINA",1,"CAJ","000000000000000032",NULL,"11.36","ETIQUETA BLANCA 32 X 64 MM","eti_blanca32.png",58707,"image/png","2016-02-09 04:20:55","2015-03-09 23:40:14","2016-02-09 04:20:55",1,"2016-03-17 21:30:00"
30,"FOLDER CARTA","CAJ","ARTICULOS DE OFICINA",1,"CAJ","000000000000000034",NULL,"60.00","FOLDER CARTA","Folder_carta.jpg",50705,"image/jpeg","2016-03-18 03:20:24","2015-03-09 23:40:14","2016-03-18 03:20:24",1,"2016-03-17 21:30:00"
31,"FOLDER COLGANTE OFICIO","PAQ","ARTICULOS DE OFICINA",1,"PZA","000000000000000035",NULL,"98.13","FOLDER COLGANTE OFICIO","folder_colganteoficio.png",22897,"image/png","2016-02-09 04:21:53","2015-03-09 23:40:14","2016-02-09 04:21:53",1,"2016-03-17 21:30:00"
32,"GOMA BLANCA","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000036",NULL,"1.34","GOMA BLANCA","Goma_blanca.jpg",61229,"image/jpeg","2016-03-18 03:21:40","2015-03-09 23:40:14","2016-03-18 03:21:40",1,"2016-03-17 21:30:00"
33,"PAQUETE DE GRAPAS","CAJ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000037",NULL,"10.92","PAQUETE DE GRAPAS","Paquete_grapas.jpg",109894,"image/jpeg","2016-03-18 03:34:21","2015-03-09 23:40:14","2016-03-18 03:34:21",1,"2016-03-17 21:30:00"
34,"LAPIZ MIRADO NO. 2 MEDIANO","PZA","ARTICULOS DE OFICINA",5,"PZA","000000000000000039",NULL,"2.00","LAPIZ MIRADO NO. 2 MEDIANO","Lapiz-Mirado-No2-mediano.jpg",137661,"image/jpeg","2016-03-18 03:22:16","2015-03-09 23:40:14","2016-03-18 03:22:16",1,"2016-03-17 21:30:00"
35,"LAPIZ ROJO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000040",NULL,"3.60","LAPIZ ROJO","Lapiz_rojo.jpg",59887,"image/jpeg","2016-03-18 03:31:41","2015-03-09 23:40:15","2016-03-18 03:31:41",1,"2016-03-17 21:30:00"
36,"PAQUETE DE LIGAS","PAQ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000041",NULL,"11.78","PAQUETE DE LIGAS","paquete_nalgas.jpg",95688,"image/jpeg","2016-03-18 03:34:39","2015-03-09 23:40:15","2016-03-18 03:34:39",1,"2016-03-17 21:30:00"
37,"MARCADOR ALERTA AMARILLO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000042",NULL,"4.30","MARCADOR ALERTA AMARILLO","Marcador_alerta_amarillo.jpg",68987,"image/jpeg","2016-03-18 03:31:53","2015-03-09 23:40:15","2016-03-18 03:31:53",1,"2016-03-17 21:30:00"
38,"MARCADOR ALERTA AZUL","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000043",NULL,"4.30","MARCADOR ALERTA AZUL","Marcador_alerta_azul.jpg",113670,"image/jpeg","2016-03-18 03:32:03","2015-03-09 23:40:15","2016-03-18 03:32:03",1,"2016-03-17 21:30:00"
39,"MARCADOR PARA ACETATO NEGRO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000044",NULL,"9.80","MARCADOR PARA ACETATO NEGRO","marcador_p_acetato.png",86209,"image/png","2016-02-09 04:26:44","2015-03-09 23:40:15","2016-02-09 04:26:44",1,"2016-03-17 21:30:00"
40,"MARCADOR PERMANENTE NEGRO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000045",NULL,"15.50","MARCADOR PERMANENTE NEGRO","Marcador_permanete_negro.jpg",26191,"image/jpeg","2016-03-18 03:32:46","2015-03-09 23:40:15","2016-03-18 03:32:46",1,"2016-03-17 21:30:00"
41,"MICA PROTECTORA CARTA","PAQ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000046",NULL,"63.00","MICA PROTECTORA CARTA","Mica_protectora_carta.jpg",97022,"image/jpeg","2016-03-18 03:33:08","2015-03-09 23:40:15","2016-03-18 03:33:08",1,"2016-03-17 21:30:00"
42,"PAPEL BLANCO BOND CARTA 37 KG","CAJ","PAPEL",3,"CAJ","000000000000000047",NULL,"387.00","PAPEL BLANCO BOND CARTA 37 KG","PAPEL SCRIBE.jpg",70465,"image/jpeg","2016-03-11 05:42:22","2015-03-09 23:40:15","2016-03-11 05:42:22",2,"2016-03-17 21:30:00"
43,"PEGAMENTO PRITT","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000048",NULL,"8.60","PEGAMENTO PRITT","Pegamento_pritt.jpg",131736,"image/jpeg","2016-03-18 03:28:47","2015-03-09 23:40:15","2016-03-18 03:28:47",1,"2016-03-17 21:30:00"
44,"PAQUETE DE PILAS AA (4 PIEZAS)","PAQ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000049",NULL,"32.53","PAQUETE DE PILAS AA (4 PIEZAS)","Paquete_pilas_AA.jpg",103969,"image/jpeg","2016-03-18 03:28:02","2015-03-09 23:40:15","2016-03-18 03:28:02",1,"2016-03-17 21:30:00"
45,"PAQUETE DE PILAS AAA (4 PIEZAS)","PAQ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000050",NULL,"39.73","PAQUETE DE PILAS AAA (4 PIEZAS)","Paquete_pilas_AAA.jpg",99523,"image/jpeg","2016-03-18 03:28:16","2015-03-09 23:40:15","2016-03-18 03:28:16",1,"2016-03-17 21:30:00"
46,"PLUMA PUNTO MEDIO NEGRO","PZA","ARTICULOS DE OFICINA",5,"PZA","000000000000000051",NULL,"1.73","PLUMA PUNTO MEDIO NEGRO","Pluma_puntomedio_negro.jpg",31010,"image/jpeg","2016-03-18 03:29:30","2015-03-09 23:40:16","2016-03-18 03:29:30",1,"2016-03-17 21:30:00"
47,"PLUMON PARA PIZARRON CONSAR","PZA","ARTICULOS DE OFICINA",1,"PZA","000000000000000052",NULL,"6.40","PLUMON PARA PIZARRON CONSAR","no_disponible.png",4643,"image/jpeg","2016-02-09 04:32:27","2015-03-09 23:40:16","2016-02-09 04:32:27",1,"2016-03-17 21:30:00"
48,"POST-IT 3.8 X 5.1 CM","PAQ","ARTICULOS DE OFICINA",2,"PAQ","000000000000000054",NULL,"5.20","POST-IT 3.8 X 5.1 CM","Post-it-38-x-5cm.jpg",76965,"image/jpeg","2016-03-18 03:30:53","2015-03-09 23:40:16","2016-03-18 03:30:54",1,"2016-03-17 21:30:00"
49,"POST-IT 5.0 X 7.6 CM","PAQ","ARTICULOS DE OFICINA",2,"PAQ","000000000000000055",NULL,"9.80","POST-IT 5.0 X 7.6 CM","Post-it-5-x-7-cm.jpg",105732,"image/jpeg","2016-03-18 03:31:06","2015-03-09 23:40:16","2016-03-18 03:31:06",1,"2016-03-17 21:30:00"
50,"REFUERZOS ADHESIVOS BLANCOS","PAQ","ARTICULOS DE OFICINA",1,"PAQ","000000000000000057",NULL,"2.84","REFUERZOS ADHESIVOS BLANCOS","refuerzos.png",31312,"image/png","2016-02-09 04:33:55","2015-03-09 23:40:16","2016-02-09 04:33:55",1,"2016-03-17 21:30:00"
51,"REGISTRADOR CARTA","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000058",NULL,"16.80","REGISTRADOR CARTA","Registrador_carta.jpg",201944,"image/jpeg","2016-03-18 03:27:03","2015-03-09 23:40:16","2016-03-18 03:27:03",1,"2016-03-17 21:30:00"
52,"REGISTRADOR OFICIO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000059",NULL,"25.02","REGISTRADOR OFICIO","Registrador_oficio.jpg",148129,"image/jpeg","2016-03-18 03:27:15","2015-03-09 23:40:16","2016-03-18 03:27:15",1,"2016-03-17 21:30:00"
53,"REGLA DE PLASTICO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000060",NULL,"2.35","REGLA DE PLASTICO","Regla_plastico.jpg",41292,"image/jpeg","2016-03-18 03:26:48","2015-03-09 23:40:16","2016-03-18 03:26:48",1,"2016-03-17 21:30:00"
54,"SACAPUNTAS METALICO","PZA","ARTICULOS DE OFICINA",2,"PZA","000000000000000063",NULL,"2.84","SACAPUNTAS METALICO","sacapuntas_metalico.jpg",67693,"image/jpeg","2016-03-18 03:26:27","2015-03-09 23:40:16","2016-03-18 03:26:27",1,"2016-03-17 21:30:00"
55,"SEPARADOR BLANCO CARTA 5 DIVISIONES","PAQ","ARTICULOS DE OFICINA",2,"PAQ","N/D",NULL,"","SEPARADOR BLANCO CARTA 5 DIVISIONES","Separador_blanco_carta.jpg",99854,"image/jpeg","2016-03-18 03:26:00","2015-03-09 23:40:16","2016-03-18 03:26:00",1,"2016-03-17 21:30:00"
56,"SEPARADOR PLASTICO CARTA 5 DIVISIONES","PAQ","ARTICULOS DE OFICINA",2,"PAQ","N/D",NULL,"","SEPARADOR PLASTICO CARTA 5 DIVISIONES","Separador_plastico_carta.jpg",71275,"image/jpeg","2016-03-18 03:26:15","2015-03-09 23:40:17","2016-03-18 03:26:15",1,"2016-03-17 21:30:00"
57,"SOBRE BOLSA CARTA MANILA","PZA","ARTICULOS DE OFICINA",20,"PZA","000000000000000066",NULL,"1.03","SOBRE BOLSA CARTA MANILA","Sobre_bolsa_carta_manila.jpg",53194,"image/jpeg","2016-03-18 03:23:52","2015-03-09 23:40:17","2016-03-18 03:23:52",1,"2016-03-17 21:30:00"
58,"SOBRE BOLSA ESQUELA MANILA","PZA","ARTICULOS DE OFICINA",20,"PZA","000000000000000067",NULL,"0.83","SOBRE BOLSA ESQUELA MANILA","Sobre_bolsa_carta_esquila.jpg",56453,"image/jpeg","2016-03-18 03:24:10","2015-03-09 23:40:17","2016-03-18 03:24:10",1,"2016-03-17 21:30:00"
59,"SOBRE BOLSA OFICIO MANILA","PZA","ARTICULOS DE OFICINA",20,"PZA","000000000000000068",NULL,"1.32","SOBRE BOLSA OFICIO MANILA","Sobre_bolsa_oficio_manila.jpg",69119,"image/jpeg","2016-03-18 03:22:45","2015-03-09 23:40:17","2016-03-18 03:22:45",1,"2016-03-17 21:30:00"
